Search_type,Start State,Solution Found,Depth,Solution Path,Nodes Expanded,Search Time
BFS,"[7, 8, 5, 2, 4, 1, 3, 0, 6]",FALSE,31,,181440,3.924894084
DFS,"[7, 8, 5, 2, 4, 1, 3, 0, 6]",FALSE,1,,181440,2.88067802
A* Misplaced Tiles,"[7, 8, 5, 2, 4, 1, 3, 0, 6]",FALSE,30,,181440,4.402434843
A* Manhattan Distance,"[7, 8, 5, 2, 4, 1, 3, 0, 6]",FALSE,30,,181440,5.376699357
,,,,,,
,,,,,,
BFS,"[0, 3, 4, 5, 6, 7, 8, 2, 1]",FALSE,31,,181440,3.471148665
DFS,"[0, 3, 4, 5, 6, 7, 8, 2, 1]",FALSE,1,,181440,2.955249813
A* Misplaced Tiles,"[0, 3, 4, 5, 6, 7, 8, 2, 1]",FALSE,32,,181440,4.414914438
A* Manhattan Distance,"[0, 3, 4, 5, 6, 7, 8, 2, 1]",FALSE,28,,181440,5.649405907
,,,,,,
,,,,,,
BFS,"[4, 3, 6, 8, 1, 7, 2, 0, 5]",TRUE,19,"['8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 3, ', '3 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ']",51323,1.028549113
DFS,"[4, 3, 6, 8, 1, 7, 2, 0, 5]",TRUE,65369,,151263,2.284568269
A* Misplaced Tiles,"[4, 3, 6, 8, 1, 7, 2, 0, 5]",TRUE,19,"['8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 3, ', '3 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ']",3705,0.105340361
A* Manhattan Distance,"[4, 3, 6, 8, 1, 7, 2, 0, 5]",TRUE,19,"['8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 3, ', '3 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ']",551,0.013911298
,,,,,,
,,,,,,
BFS,"[4, 3, 1, 2, 0, 5, 6, 7, 8]",FALSE,30,,181440,2.830970998
DFS,"[4, 3, 1, 2, 0, 5, 6, 7, 8]",FALSE,1,,181440,2.382237328
A* Misplaced Tiles,"[4, 3, 1, 2, 0, 5, 6, 7, 8]",FALSE,30,,181440,3.536945749
A* Manhattan Distance,"[4, 3, 1, 2, 0, 5, 6, 7, 8]",FALSE,30,,181440,4.420362335
,,,,,,
,,,,,,
BFS,"[0, 4, 2, 8, 1, 6, 3, 5, 7]",FALSE,31,,181440,2.783622097
DFS,"[0, 4, 2, 8, 1, 6, 3, 5, 7]",FALSE,1,,181440,2.395543786
A* Misplaced Tiles,"[0, 4, 2, 8, 1, 6, 3, 5, 7]",FALSE,30,,181440,3.582126552
A* Manhattan Distance,"[0, 4, 2, 8, 1, 6, 3, 5, 7]",FALSE,30,,181440,4.386839003
,,,,,,
,,,,,,
BFS,"[3, 0, 6, 8, 7, 1, 5, 4, 2]",TRUE,25,"['2 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ', '9 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 2, ', '2 swapped for 1, ', '1 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 3, ', '3 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ']",167788,2.417670386
DFS,"[3, 0, 6, 8, 7, 1, 5, 4, 2]",TRUE,18891,,34007,0.323441522
